InterventionName_lower,Freq
,923
placebo,657
hydroxychloroquine,110
standard of care,84
convalescent plasma,62
no intervention,61
remdesivir,51
questionnaire,48
tocilizumab,44
azithromycin,40
ivermectin,35
survey,34
placebo oral tablet,33
favipiravir,29
blood sample,28
standard care,24
covid-19 vaccine,21
dexamethasone,21
methylprednisolone,18
nitazoxanide,18
enoxaparin,18
usual care,17
placebos,16
vitamin d,16
colchicine,16
vitamin c,16
blood sampling,15
normal saline,15
data collection,15
bnt162b2,15
standard of care (soc),14
questionnaire administration,13
control,13
saline,13
hydroxychloroquine sulfate,13
prone position,13
questionnaires,12
online survey,12
lung ultrasound,12
anakinra,12
lopinavir/ritonavir,12
baricitinib,11
covid-19 convalescent plasma,11
nasopharyngeal swab,11
mrna-1273,11
ruxolitinib,10
camostat mesilate,10
standard treatment,10
azd1222,10
zinc,9
control group,9
losartan,9
observational,9
rivaroxaban,8
vitamin d3,8
bcg vaccine,8
quality-of-life assessment,8
blood test,8
gam-covid-vac,8
interferon beta-1a,7
interview,7
camostat,7
saliva collection,7
covid-19,7
biospecimen collection,7
prone positioning,7
sarilumab,7
telerehabilitation,7
placebo administration,7
covid-19 pandemic,7
ad26.cov2.s,7
observation,7
bamlanivimab,7
chloroquine,7
cholecalciferol,7
vir-7831,7
recombinant novel coronavirus vaccine (adenovirus type 5 vector),7
standard therapy,6
hydroxychloroquine (hcq),6
nafamostat mesilate,6
standard medical treatment,6
oseltamivir,6
heparin,6
soc,6
anti-sars-cov-2 convalescent plasma,6
uc-mscs,6
mesenchymal stromal cells,6
das181,6
melatonin,6
interferon beta-1b,6
best practice,6
online questionnaire,6
aspirin,6
blood draw,6
azd7442,6
niclosamide,5
pulmonary rehabilitation,5
clazakizumab,5
covid-19 vaccines,5
povidone-iodine,5
ly3819253,5
sars-cov-2 convalescent plasma,5
therapeutic plasma exchange,5
fluvoxamine,5
standard of care treatment,5
infliximab,5
survey administration,5
prednisone,5
telemedicine,5
ampion,5
serology,5
exercise,5
blood samples,5
ascorbic acid,5
coronavac,5
blood tests,5
rt-pcr,5
sargramostim,5
questionnaire assesment,5
0.9% saline,5
echocardiography,5
mavrilimumab,5
other,4
tofacitinib,4
placebo capsules,4
hydroxychloroquine + azithromycin,4
cellectra® 2000,4
famotidine,4
rls-0071,4
human biological samples,4
adsorbed covid-19 (inactivated) vaccine,4
had5-s-fusion+n-etsd vaccine,4
low dose radiotherapy,4
dwrx2003,4
opaganib,4
hcq,4
spirometry,4
saliva sample,4
chloroquine or hydroxychloroquine,4
covi-amg,4
scta01,4
regn10933+regn10987 combination therapy,4
covi-msc,4
placebo comparator,4
anti-sars-cov2 serology,4
n-acetylcysteine,4
lopinavir / ritonavir,4
observational study,4
proxalutamide,4
exercise training,4
oxygen,4
oxygen therapy,4
electronic health record review,4
nitric oxide,4
hyperbaric oxygen,4
covid-19 rt-pcr,4
behavioral intervention,4
transcranial direct current stimulation,4
best supportive care,4
ivermectin tablets,4
ecg,4
naltrexone,4
cvncov vaccine,4
serological test,4
allocetra-ots,4
normal saline (0.9% sodium chloride solution) - stage 1,4
unfractionated heparin,4
inactivated sars-cov-2 vaccine (vero cell),4
colchicine tablets,4
apixaban,4
pirfenidone,4
acalabrutinib,4
matching placebo,4
phone call,4
doxycycline,4
eculizumab,4
ensovibep,3
data record,3
av-covid-19,3
abatacept,3
ayurveda,3
surgery,3
ino-4800,3
cyclosporine,3
dzif-10c,3
eidd-2801,3
ofatumumab,3
convalescent plasma (cp),3
covid-19 serology,3
hydroxychloroquine sulfate 200 mg,3
surgical mask,3
slv213,3
selinexor,3
fostamatinib,3
apixaban 2.5 mg,3
