InterventionType,InterventionName_lower,Freq
,,920
Drug,placebo,399
Other,placebo,169
Drug,hydroxychloroquine,110
Biological,placebo,70
Other,no intervention,61
Other,standard of care,54
Biological,convalescent plasma,53
Drug,remdesivir,49
Drug,tocilizumab,41
Drug,azithromycin,40
Other,questionnaire,40
Drug,ivermectin,35
Drug,placebo oral tablet,32
Other,survey,31
Drug,favipiravir,29
Drug,standard of care,28
Drug,dexamethasone,21
Drug,nitazoxanide,18
Drug,methylprednisolone,18
Biological,covid-19 vaccine,18
Drug,enoxaparin,18
Dietary Supplement,placebo,17
Other,standard care,17
Drug,placebos,16
Drug,colchicine,16
Biological,bnt162b2,15
Other,data collection,14
Other,questionnaire administration,13
Drug,hydroxychloroquine sulfate,13
Other,usual care,13
Dietary Supplement,vitamin d,12
Drug,lopinavir/ritonavir,12
Biological,covid-19 convalescent plasma,11
Other,blood sample,11
Biological,mrna-1273,11
Drug,baricitinib,11
Drug,anakinra,11
Biological,blood sample,10
Drug,normal saline,10
Drug,ruxolitinib,10
Other,online survey,10
Diagnostic Test,nasopharyngeal swab,10
Drug,camostat mesilate,10
Diagnostic Test,lung ultrasound,10
Drug,losartan,9
Biological,azd1222,9
Other,questionnaires,9
Other,quality-of-life assessment,8
Other,blood sampling,8
Other,observational,8
Dietary Supplement,vitamin d3,8
Drug,rivaroxaban,8
Biological,gam-covid-vac,8
Other,standard of care (soc),8
Dietary Supplement,vitamin c,8
Biological,ad26.cov2.s,7
Drug,chloroquine,7
Biological,recombinant novel coronavirus vaccine (adenovirus type 5 vector),7
Drug,interferon beta-1a,7
Other,prone position,7
Drug,vitamin c,7
Other,saline,7
Drug,convalescent plasma,7
Drug,camostat,7
Drug,cholecalciferol,7
Other,covid-19,6
Procedure,biospecimen collection,6
Behavioral,questionnaire,6
Other,observation,6
Drug,oseltamivir,6
Drug,sarilumab,6
Drug,standard treatment,6
Drug,interferon beta-1b,6
Other,best practice,6
Drug,aspirin,6
Biological,mesenchymal stromal cells,6
Other,telerehabilitation,6
Drug,heparin,6
Drug,nafamostat mesilate,6
Other,control group,6
Biological,uc-mscs,6
Drug,das181,6
Drug,placebo administration,6
Drug,hydroxychloroquine (hcq),6
Other,questionnaire assesment,5
Drug,melatonin,5
Biological,saline,5
Other,interview,5
Biological,vir-7831,5
Other,online questionnaire,5
Drug,standard medical treatment,5
Other,telemedicine,5
Drug,prednisone,5
Drug,mavrilimumab,5
Biological,bcg vaccine,5
Drug,povidone-iodine,5
Drug,infliximab,5
Drug,clazakizumab,5
Drug,zinc,5
Drug,niclosamide,5
Drug,sargramostim,5
Biological,coronavac,5
Other,survey administration,5
Biological,covid-19 vaccines,5
Biological,ampion,5
Other,covid-19 pandemic,5
Diagnostic Test,rt-pcr,5
Biological,anti-sars-cov-2 convalescent plasma,5
Drug,fluvoxamine,5
Other,standard treatment,4
Drug,chloroquine or hydroxychloroquine,4
Biological,had5-s-fusion+n-etsd vaccine,4
Other,control,4
Drug,ascorbic acid,4
Drug,naltrexone,4
Drug,famotidine,4
Other,normal saline (0.9% sodium chloride solution) - stage 1,4
Diagnostic Test,blood sample,4
Other,exercise,4
Other,prone positioning,4
Radiation,low dose radiotherapy,4
Drug,opaganib,4
Drug,unfractionated heparin,4
Drug,hcq,4
Drug,hydroxychloroquine + azithromycin,4
Drug,tofacitinib,4
Drug,bamlanivimab,4
Biological,adsorbed covid-19 (inactivated) vaccine,4
Drug,soc,4
Drug,apixaban,4
Biological,cvncov vaccine,4
Drug,nitric oxide,4
Biological,covi-amg,4
Drug,azd7442,4
Other,other,4
Diagnostic Test,blood tests,4
Drug,lopinavir / ritonavir,4
Drug,ly3819253,4
Drug,standard of care (soc),4
Diagnostic Test,anti-sars-cov2 serology,4
Other,electronic health record review,4
Other,observational study,4
Other,pulmonary rehabilitation,4
Drug,rls-0071,4
Other,standard of care treatment,4
Device,transcranial direct current stimulation,4
Device,cellectra® 2000,4
Drug,acalabrutinib,4
Drug,colchicine tablets,4
Diagnostic Test,covid-19 rt-pcr,4
Drug,doxycycline,4
Drug,ivermectin tablets,4
Drug,proxalutamide,4
Drug,pirfenidone,4
Dietary Supplement,zinc,4
Drug,regn10933+regn10987 combination therapy,4
Procedure,prone position,4
Biological,inactivated sars-cov-2 vaccine (vero cell),4
Biological,sars-cov-2 convalescent plasma,4
Other,normal saline,4
Behavioral,behavioral intervention,4
Drug,dwrx2003,4
Drug,control,4
Procedure,prone positioning,3
Diagnostic Test,pcr,3
Drug,avigan 200 mg film tablets,3
Behavioral,survey,3
Drug,placebo (normal saline solution),3
Biological,convalescent plasma (cp),3
Device,coviage,3
Drug,standard therapy,3
Diagnostic Test,saliva collection,3
Biological,bnt162b1,3
Drug,selinexor,3
Drug,aerosolized 13 cis retinoic acid,3
Behavioral,blood donation sms,3
Other,phone call,3
Drug,telmisartan,3
