NCTId,StudyFirstSubmitDate,StartDate,StartDateType,InterventionType,InterventionName,InterventionOtherNameList
NCT04707534,"January 11, 2021","January 21, 2021",Actual,Drug,Dexamethasone,
NCT04372602,"April 30, 2020","October 12, 2020",Actual,Drug,Duvelisib,Copiktra
NCT04372602,"April 30, 2020","October 12, 2020",Actual,Procedure,Peripheral blood draw,
NCT04372602,"April 30, 2020","October 12, 2020",Actual,Drug,Placebo,
NCT04508777,"August 10, 2020","September 9, 2020",Actual,Behavioral,Saliva-based testing,
NCT04593940,"September 23, 2020","October 15, 2020",Actual,Drug,Infliximab,remicade
NCT04593940,"September 23, 2020","October 15, 2020",Actual,Drug,Abatacept,orencia
NCT04593940,"September 23, 2020","October 15, 2020",Actual,Drug,Remdesivir,
NCT04593940,"September 23, 2020","October 15, 2020",Actual,Drug,cenicriviroc,
NCT04510233,"August 10, 2020",September 2020,Anticipated,Drug,Ivermectin nasal,ivermectin
NCT04510233,"August 10, 2020",September 2020,Anticipated,Drug,Ivermectin oral,ivermectin
NCT04510233,"August 10, 2020",September 2020,Anticipated,Other,standard care,
NCT04364698,"April 24, 2020","May 7, 2020",Actual,,,
NCT04902157,"May 25, 2021","February 1, 2021",Actual,Diagnostic Test,Cycle threshold,
NCT04422574,"June 8, 2020","May 1, 2020",Actual,,,
NCT04914013,"June 2, 2021",June 2021,Anticipated,Other,no intervention,
NCT04482621,"July 21, 2020","September 14, 2020",Actual,Drug,Decitabine,5-aza-2'- deoxycytidine|DACOGEN
NCT04482621,"July 21, 2020","September 14, 2020",Actual,Other,Placebo Saline,
NCT04649840,"December 1, 2020","October 1, 2020",Actual,Diagnostic Test,Humoral and cellular immunity,
NCT04810689,"March 17, 2021","March 1, 2021",Actual,Drug,Xuanfei Baidu Granules,XFBD
NCT04810689,"March 17, 2021","March 1, 2021",Actual,Other,Placebo,
NCT04903327,"May 21, 2021",July 2021,Anticipated,Biological,COVI-MSC,
NCT04903327,"May 21, 2021",July 2021,Anticipated,Drug,Placebo,
NCT04459637,"June 25, 2020","July 1, 2020",Anticipated,,,
NCT04425538,"June 8, 2020","June 1, 2020",Actual,Drug,Infliximab,infliximab-abda
NCT04905836,"May 27, 2021",August 2021,Anticipated,Biological,COVI-MSC,
NCT04905836,"May 27, 2021",August 2021,Anticipated,Drug,Placebo,
